day,Humidity(%),Tmax(oC),Tmin(oc),Rain(mm)
1,94.7,13,5.6,0
2,100,16.4,2.5,9.9
3,98.4,22,2.3,0.3
4,98.4,19.5,1,0
5,96.8,20,1.4,0
6,100,20,1.2,0
7,100,20,0.5,0
8,100,18,1,0
9,100,18.2,0.7,0
10,100,18.2,0,7.6
11,96.7,19,-0.2,0
12,100,19.4,1.5,0
13,96.8,19.6,-0.2,0
14,100,19.7,-0.4,0
15,100,20,0.2,0
16,100,21.9,-1.3,0
17,92.1,23,1,0
18,93.9,22.5,2,0
19,95.3,23.8,2.4,0
20,95.3,23.1,2,0
21,96.8,20.4,1.9,0
22,97,20.7,2,0
23,96.9,19.3,2,0
24,96.9,18.7,2.3,0
25,100,18.2,2,0
26,100,19.4,1.5,0
27,100,19,3.6,0
28,97.1,17.2,3.7,0
29,97.4,11.2,8,0
30,100,18.5,5,0
31,97.3,16,5.4,0
32,97.4,19.1,8,0
33,95,15.5,9,0
34,98.5,20.5,3.1,0
35,97,17.1,3.5,0
36,94.1,21.5,2.4,0
37,91.5,21.5,3,0
38,100,21.6,4.7,0
39,100,22.3,7,12.2
40,100,21.1,3.2,29.3
41,97,21.6,2.5,0
42,82.8,21.1,3,0
43,94.4,20.8,3.1,0
44,94.1,21.5,2.5,0
45,96.9,19.6,2,0.3
46,94.2,20.2,2.6,0
47,94.7,21,7,0
48,100,21.9,5.7,0
49,95.1,21.7,8.5,0
50,97.5,13.7,9.3,0
51,97.4,20,6,0
52,95.9,21.5,4,0
53,100,21.4,4.5,0
54,88.4,22.4,8.5,0
55,95,23.4,6.4,0
56,89.5,21.8,7,0
57,97.5,21.5,8.5,0
58,97.5,22.8,7.8,0
59,96.4,22.7,8.6,0
60,100,24.8,7.6,0
61,100,25.3,7.8,0
62,88.7,26.7,8,0
63,95.2,26,8.8,0
64,90.9,25,5.2,0
65,87,24,4.5,0
66,83.4,22,6.9,0
67,70.7,23,4,0
68,92.1,22.2,5.2,0
69,90.1,25,6.5,0
70,82.3,26,7.3,0
71,82.4,20.7,9,0
72,86.9,22,6,0
73,87,23.8,5.6,0
74,94.5,23,12,7.8
75,83.4,25.6,11,0
76,85.1,24.5,7.5,7.4
77,69,24.3,9.3,0
78,72.7,24,7.4,0
79,78.4,24.5,8,0
80,75.7,23.5,10.4,0
81,83.8,26.2,13.4,0
82,89.7,27.3,12.6,0
83,90,25.5,13,0
84,85.2,25.5,11.5,0
85,88.5,24.4,10,0
86,97.6,24.8,10.2,0
87,85.9,27.5,12.9,0
88,94.8,20.5,13.5,0
89,89.6,26.2,12,0
90,79.7,26,11,0
91,83,26.9,11.8,0.4
92,93.6,27.1,12,0
93,87.8,27.5,12.6,0
94,72.2,27.7,12.7,0
95,80,27.5,12.7,19.2
96,81.2,28.2,11.6,0.2
97,76.3,29,11.5,19.4
98,72.5,29.1,11.3,0
99,65.7,28.8,11.4,0
100,82,29,12.6,8.2
101,72.5,28.7,11.8,21.8
102,81.7,29.2,12.8,8.3
103,83,30.2,13.5,0.5
104,77.7,30.8,12.5,1
105,82.1,29,11.5,0.5
106,78.4,30,13.4,0
107,82.7,27.7,12,0.6
108,77.6,30,13.4,0
109,81.9,30.6,14.5,0
110,62.1,30,14.5,0
111,70.4,29,14,0
112,83.2,29,11.5,0
113,78.3,29.2,14,0
114,75.3,29.5,17.1,0
115,82.6,29,17.4,0
116,80.4,30.1,18.7,0
117,69.1,27.6,14,0
118,83.3,29,16.2,0
119,82.1,26.2,15,0
120,82.6,23.7,11.9,0.4
121,84.2,26.7,12,0
122,94.1,27,15.4,0
123,82.4,30.6,14.3,0
124,74.3,28,12.8,0
125,72.5,29.4,12.4,3
126,62.5,30.2,10.8,0.6
127,52.1,29.2,11,0
128,61.3,29.5,11.6,0
129,59.8,29,12.1,0
130,71.8,27.9,10.6,0
131,79.9,26.9,13.3,7.4
132,72.2,28.4,13,17.3
133,72.9,30.5,16.6,0
134,71.8,28.7,13,1.3
135,71.8,30,15.4,0
136,74.1,29.6,13.6,0
137,68.4,30.8,16.4,0
138,63.5,31,13.7,0
139,84.4,29.6,13.6,0
140,82.8,29.4,15.6,0.6
141,81.3,30.1,16,6.2
142,88.6,26.3,17.6,0
143,80.4,29.2,15.5,0
144,75.2,29.4,17.4,2.4
145,80.9,29.2,15.5,0
146,81.4,30.6,15.8,0
147,67.9,32,15.8,1
148,68.1,32.6,15.7,2.4
149,65.1,32.5,16.5,0
150,76.7,33.1,18.3,0
151,76.7,31.8,18.7,0
152,81.2,31.9,19,0
153,75.6,31,20.2,9.2
154,78.4,32.3,18.2,12.4
155,96.1,27.8,16.2,0
156,76.3,29,17.6,1.8
157,91,27.4,17.5,0
158,83,28,17.4,0
159,83.2,27.2,18.5,0
160,74.3,29,18,0
161,89.1,30,20,0
162,90.8,28.7,17.8,0
163,83.6,31,18.8,0.8
164,82.3,30.5,20,0
165,72.4,26.7,19.5,0
166,76,29.5,18,1.6
167,87.8,26.3,19.8,1.2
168,75.1,30.5,17.8,0
169,68.6,28.8,20,7.4
170,77.8,30.1,19.5,3
171,88.4,26.5,20,11.3
172,89.9,27.5,19.7,5.7
173,81.1,28.5,19.4,0
174,88.4,27.5,20.4,7.5
175,94.7,24.4,19.4,8.3
176,82.4,29.6,20,38.5
177,83.7,30.6,21,30.9
178,98.2,28.5,20.2,0
179,91.4,25.8,20.7,1.7
180,95.6,28.6,19.8,0
181,89.8,29.8,19.6,7.9
182,99.1,27.5,19.8,0
183,85.5,30.5,20,0.9
184,93.9,30.3,20,4.8
185,91.7,24.5,20.6,53.9
186,87,27.7,20.5,16.4
187,78.9,30.2,19.9,14.2
188,83.7,29.3,20.4,2.3
189,89.9,27,20,4.2
190,93.8,25.4,20.5,1.4
191,92.3,25.2,19.4,7.7
192,86.8,29.3,20,0
193,83.8,28.6,20.5,4.3
194,86.1,28.3,20,3.4
195,94.8,27.5,20,2.5
196,91.5,29.6,20.4,6.2
197,79.9,30.1,20,67.5
198,89.9,29.3,20,19.5
199,82.8,28,21.1,22.3
200,93.1,26.2,20.6,4.3
201,95.6,28,19.5,12.6
202,79.4,29.4,20.2,12.4
203,91.6,30,21,4.6
204,88.5,30.5,21.4,13.5
205,77.9,32,19.2,15.4
206,68.1,30.2,21.3,32.5
207,80.1,31.2,20.4,24.9
208,81.8,30.8,20.5,0.5
209,79.9,30.8,19.8,27.6
210,75.6,29,21,18
211,92.5,27,21.5,12.7
212,92.4,27.7,19.9,9.6
213,87,29,20,32.2
214,88.3,27.7,21,1
215,91.5,28.7,20.5,0.4
216,91.7,30.3,21,35.6
217,84,30.2,20.5,18.2
218,86.8,31.6,19.9,0
219,81.5,31.9,21.2,23.3
220,84.9,28.8,20,0
221,81.8,31.2,20.6,0
222,87.7,28.7,20.9,18.8
223,84.5,29.3,20.6,5.1
224,83.9,29.3,21,3.7
225,87.1,30.5,20.5,18.7
226,81.2,30.5,20.3,5
227,81.7,30.8,21.3,0
228,81.8,30.1,20.5,1
229,94.8,28.1,21.1,22.2
230,89.7,22.7,20.5,0.4
231,96.4,24.6,19.5,22.8
232,96.4,25.6,19.6,1.1
233,89.8,30.7,19.8,14.2
234,79.8,31,20.7,2.3
235,90.1,30.6,20.5,30.3
236,88.4,28.8,19.7,7
237,89.2,27.3,20.1,1.6
238,88.3,29.2,20.6,4.5
239,90,29.5,20.3,1.4
240,84.1,29.5,20.5,0.8
241,87.2,30,20.7,0
242,76.9,29.5,20.3,1.3
243,84.1,27.4,20.8,9.9
244,92.2,28.8,19.5,39
245,91.3,27.6,20,1.6
246,79.7,28.6,20.6,22
247,83.8,29.8,20.4,0
248,86.6,29.8,18.8,10
249,83.6,30.2,18.2,7
250,87.7,29.3,20,11.4
251,94.8,28.8,20.5,0
252,86.9,28.5,20.4,0
253,89.7,30.7,19,50
254,85.1,30.4,19.6,1.7
255,79.4,30.6,20.2,39
256,90,29.7,20.7,38
257,86.8,29.4,19.8,12.6
258,94.7,27,19.5,75
259,85.9,28.8,18.4,7.4
260,83.7,30.6,19.6,37.2
261,89.9,29,19.5,23.5
262,85.3,30,19.3,23.5
263,91.5,30.3,20.8,1.3
264,98.2,27.9,20,0
265,95.6,27.4,20,0
266,98.2,26.9,19.5,0
267,98.1,20.4,17.6,0
268,92.7,25.6,18,0
269,87.9,29.1,18.2,0
270,78.9,29.3,18,1
271,89.6,29.6,18,0
272,92.1,24.9,18.5,0
273,91.1,24.5,18.2,0
274,94.4,28.9,17.4,0
275,92.8,29.4,18.5,0
276,91,29.6,16.7,0
277,87.5,29.2,16.4,0
278,85.3,28.9,14,0
279,85.4,29.3,14.5,0
280,85.6,27.7,15,0
281,90.8,25,17.4,0
282,98.1,26,18.2,0
283,84.7,28.5,18,0
284,94.2,28.7,14.7,13.2
285,90.9,28.6,15.5,0
286,88,28.8,14.5,0
287,97.9,29.2,14.2,0
288,93.2,29,14.6,0
289,90.4,27.7,15.7,0
290,85.7,28,16.4,0
291,94.2,27.5,15.3,0
292,89.5,28,13.5,0
293,95.9,27.8,14,0
294,95.9,28,11.8,0
295,100,27.6,11,0
296,88.3,27.2,10,0
297,89.8,23,13.4,0
298,94.1,23.9,15.8,0
299,92,22.7,14.8,0
300,90.4,27.8,15.2,0
301,90.3,27.3,15.7,0
302,89.2,27,12,0
303,87.3,27,12.5,0
304,91.7,26.8,11.5,0
305,88.1,26.3,13.3,0
306,93.5,25.6,10.7,0
307,94.5,25.4,9.9,0
308,97.7,25.3,10,0
309,93.6,25,11.6,0
310,92.6,25.2,10.7,0
311,94.4,25,9.5,0
312,91.2,24.8,10,0
313,95.4,25,9.5,0
314,95.5,24.3,10.2,0
315,88.5,23.5,11.4,0
316,89.4,23.2,12,0
317,94.3,23.1,9.3,0
318,86,24,9.7,0.7
319,97.7,24.5,9.8,0
320,97.8,24,11.4,0
321,93.3,23,9.8,0
322,97.5,22.5,6.5,0
323,94.8,22.8,6.2,0
324,90.1,23.5,5.5,0
325,90.1,23,6.6,0
326,89.1,23,10.5,0
327,97.6,23.2,8.6,0
328,95.2,22.8,7.5,0
329,90.8,23,8.1,0
330,96.6,22.2,10.1,0
331,96.5,22.5,8.6,0
332,91.9,21,8.6,0
333,98.8,20.4,7.4,0
334,96.1,21,5,0
335,98.7,21.5,6.5,0
336,96,21.2,5.5,0
337,100,20.3,6.7,0
338,98.8,20.3,7.5,0
339,97.4,20.3,5.4,0
340,97.3,19.7,5.5,0
341,96.3,20.5,8.5,0
342,94.9,21.6,7,0
343,94.9,20.6,7,0
344,95,19.9,7.8,0
345,97.2,20.7,5.5,0
346,96,22.5,4.6,0
347,93.4,22.4,4.2,0
348,94.3,22.7,4,0
349,95.8,20.6,3.7,0
350,98.6,17,5.5,0
351,96.8,20.5,1.5,0
352,94,19.7,2.7,0
353,97.1,21.2,3,0
354,92.9,21,3,0
355,93.9,20.7,3,0
356,95.4,20.5,2.7,0
357,94.2,20.5,3,0
358,95.6,20,3.7,0
359,91.1,19.2,2.2,0
360,96.9,19.1,1.4,0
